"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"AT1G08630","THA1","-2.9683254463","0.0","0.0"
"AT1G68050","ADO3|FKF1","-1.9229902833","0.0","1e-10"
"AT2G20520","FLA6","-4.0454600028","0.0","0.0"
"AT2G23030","SNRK2-9|SNRK2.9","-1.7466916811","0.0","8e-10"
"AT3G08860","PYD4","-1.9935003729","0.0","3e-10"
"AT3G21560","BRT1|UGT84A2","3.5907045703","0.0","5e-10"
"AT3G51240","F3'H|F3H|TT6","4.6938922164","0.0","0.0"
"AT4G04710","CPK22","-2.001095822","0.0","5e-09"
"AT5G42600","MRN1","4.2752524442","0.0","1e-10"
"AT1G54970","ATPRP1|PRP1|RHS7","-5.168474119","1.759553516e-26","2.99100637e-23"
"AT5G66700","ATHB53|HB-8|HB53","-5.0669864039","9.513930402e-23","1.516163734e-19"
"AT1G49720","ABF1|AtABF1","-1.1478556706","1.48958599e-20","1.726430162e-17"
"AT1G22770","FB|GI","-1.1004646188","3.020529215e-18","0.0"
"AT5G08640","ATFLS1|FLS|FLS1","4.8834597863","1.520914129e-16","0.0"
"AT3G16140","PSAH-1","2.5702954144","1e-10","1.82e-08"
"AT3G17609","HYH","2.3095743232","1e-10","2.04e-08"
"AT4G11650","ATOSM34|OSM34","-2.6192628108","1e-10","1.56e-08"
"AT5G07990","CYP75B1|D501|TT7","2.0224178522","1e-10","1.47e-08"
"AT5G64940","abc1k8|ATATH13|ATH13|ATOSA1|OSA1","2.0197496233","2e-10","4.23e-08"
"AT3G21510","AHP1","-1.2242274287","6e-10","1.077e-07"
"AT1G44575","CP22|NPQ4|PSBS","3.5192714464","9e-10","1.519e-07"
"AT2G03530","ATUPS2|UPS2","1.6622399242","9e-10","1.55e-07"
"AT5G07180","ERL2","3.5360879167","1e-09","1.723e-07"
"AT5G45110","ATNPR3|NPR3","-0.8600853504","2.4e-09","3.663e-07"
"AT3G24310","ATMYB71|MYB305","-1.7028673008","2.6e-09","3.827e-07"
"AT5G44740","POLH","0.8653584768","2.6e-09","3.804e-07"
"AT5G24530","AtDMR6|DMR6","-1.3901751326","3e-09","4.299e-07"
"AT1G42970","GAPB","2.6406515184","5.7e-09","7.771e-07"
"AT1G79860","ATROPGEF12|MEE64|ROPGEF12","-2.8378964726","5.7e-09","7.771e-07"
"AT1G02920","ATGST11|ATGSTF7|ATGSTF8|GST11|GSTF7","-2.092438383","7.3e-09","9.534e-07"
"AT1G29920","AB165|CAB2|LHCB1.1","3.0637927738","7.5e-09","9.755e-07"
"AT3G26570","ORF02|PHT2;1","1.602265355","8.9e-09","1.1182e-06"
"AT2G34650","ABR|PID","-0.7390242021","1.4e-08","1.6873e-06"
"AT1G06040","BBX24|STO","1.4589385173","1.58e-08","1.8779e-06"
"AT2G40150","TBL28","0.7891080619","1.77e-08","2.0649e-06"
"AT1G21250","AtWAK1|PRO25|WAK1","-2.4874876421","2.08e-08","2.3451e-06"
"AT2G30570","PSBW","1.8481973259","2.35e-08","2.6037e-06"
"AT5G39660","CDF2","0.6886245546","2.61e-08","2.8463e-06"
"AT5G63850","AAP4","1.2748916333","2.7e-08","2.9288e-06"
"AT3G15840","PIFI","-2.4074016699","4.15e-08","4.2799e-06"
"AT2G26400","ARD|ARD3|ATARD3","-2.7499416855","4.5e-08","4.6056e-06"
"AT3G61450","ATSYP73|SYP73","1.7144549011","5.15e-08","5.2337e-06"
"AT4G36740","ATHB40|HB-5|HB40","-2.2159688854","8.09e-08","7.9313e-06"
"AT5G01220","SQD2","0.5811067817","8.9e-08","8.626e-06"
"AT1G20620","ATCAT3|CAT3|ROG1|SEN2","-0.8338048718","1.07e-07","1.00651e-05"
"AT3G22200","GABA-T|HER1|POP2","-0.5838821274","1.082e-07","1.01183e-05"
"AT4G14580","CIPK4|SnRK3.3","-0.9423822506","1.162e-07","1.08109e-05"
"AT5G43630","TZP","2.3497798469","1.228e-07","1.13269e-05"
"AT3G02140","AFP4|TMAC2","0.8302245145","1.269e-07","1.15944e-05"
"AT4G05180","PSBQ|PSBQ-2|PSII-Q","1.7203388433","1.886e-07","1.66987e-05"
"AT2G46270","GBF3","-0.64118092","2.008e-07","1.76593e-05"
"AT5G11180","ATGLR2.6|GLR2.6","-1.7614604156","2.115e-07","1.8404e-05"
"AT4G26080","ABI1|AtABI1","-0.8084654845","2.721e-07","2.30458e-05"
"AT2G46860","AtPPa3|PPa3","-2.8312425326","2.798e-07","2.34652e-05"
"AT1G67980","CCOAMT","-2.289711154","2.998e-07","2.48205e-05"
"AT2G19900","ATNADP-ME1|NADP-ME1","-2.5374217911","3.185e-07","2.60296e-05"
"AT4G39090","RD19|RD19A","-0.7387077404","3.288e-07","2.67022e-05"
"AT5G17230","PSY","1.048270207","4.391e-07","3.44506e-05"
"AT5G53980","ATHB52|HB52","-0.7905106606","4.496e-07","3.50599e-05"
"AT4G02280","ATSUS3|SUS3","-1.4332600158","4.946e-07","3.79885e-05"
"AT1G30650","AR411|ATWRKY14|WRKY14","-0.925148425","7.838e-07","5.56677e-05"
"AT4G27260","GH3.5|WES1","0.6145358142","8.039e-07","5.66249e-05"
"AT3G47790","ABCA8|ATATH7|ATH7","-2.299213007","8.449e-07","5.88276e-05"
"AT2G29470","ATGSTU3|GST21|GSTU3","-2.7684447048","8.981e-07","6.13941e-05"
"AT3G53200","AtMYB27|MYB27","-1.7225417686","9.043e-07","6.16502e-05"
"AT4G00900","ATECA2|ECA2","0.7008567861","1.0226e-06","6.8799e-05"
"AT4G15550","IAGLU","-0.7182105612","1.1161e-06","7.4501e-05"
"AT1G01560","ATMPK11|MPK11","-1.8271997138","1.2399e-06","8.14809e-05"
"AT5G66400","ATDI8|RAB18","-2.9632348335","1.3623e-06","8.79366e-05"
"AT5G13320","AtGH3.12|GDG1|GH3.12|PBS3|WIN3","-3.3421474717","1.5532e-06","9.92598e-05"
"AT3G24500","ATMBF1C|MBF1C","-1.0154290473","1.7676e-06","0.0001118388"
"AT2G31910","ATCHX21|CHX21","-2.1200739768","1.9409e-06","0.0001204089"
"AT2G24710","ATGLR2.3|GLR2.3","-3.7731688616","1.9978e-06","0.0001233411"
"AT1G04310","ERS2","-0.8203219814","2.1116e-06","0.0001278902"
"AT1G29910","AB180|CAB3|LHCB1.2","2.4632288048","2.2058e-06","0.000132339"
"AT5G57050","ABI2|AtABI2","-0.7518242105","2.3072e-06","0.0001377739"
"AT3G27170","ATCLC-B|CLC-B","1.1087015395","2.4434e-06","0.0001432199"
"AT3G10230","AtLCY|LYC|SZL1","0.4735742435","2.4599e-06","0.0001435314"
"AT5G25350","EBF2","-0.5623289679","2.491e-06","0.0001450154"
"AT1G79900","ATMBAC2|BAC2","-1.1900407009","2.5286e-06","0.0001458714"
"AT2G05100","LHCB2|LHCB2.1","2.0192526984","2.5505e-06","0.000146138"
"AT3G26330","CYP71B37","1.3746374733","2.5962e-06","0.000148425"
"AT3G47340","ASN1|AT-ASN1|DIN6","-1.8632657038","2.6133e-06","0.0001490688"
"AT1G47960","ATC/VIF1|AtCIF1|C/VIF1|CIF1","-0.7801891158","2.9564e-06","0.0001667751"
"AT4G30110","ATHMA2|HMA2","-1.2912127991","3.0151e-06","0.0001689661"
"AT1G69240","ATMES15|MES15|RHS9","-1.8711395457","3.0471e-06","0.0001700126"
"AT5G11060","KNAT4","-1.3451412704","4.1017e-06","0.0002187978"
"AT5G58760","DDB2","0.5474685061","4.5372e-06","0.00023707"
"AT1G50250","FTSH1","1.4652234616","4.6506e-06","0.0002417695"
"AT2G02580","CYP71B9","-2.4059381417","4.7464e-06","0.0002449862"
"AT1G05750","CLB19|PDE247","0.5929333033","4.9126e-06","0.0002520369"
"AT4G34590","ATB2|AtbZIP11|BZIP11|GBF6","0.8104797416","5.4876e-06","0.0002792882"
"AT4G38530","ATPLC1|ATPLC3|PLC1|PLC3","1.4140375672","5.6071e-06","0.0002842319"
"AT4G13195","CLE44","-1.3126795749","5.9143e-06","0.0002939605"
"AT3G60280","UCC3","-1.9723186182","6.026e-06","0.0002972211"
"AT4G14630","GLP9","-1.930261833","6.0265e-06","0.0002972211"
"AT4G08150","BP|BP1|KNAT1","1.3287858933","6.0863e-06","0.0002995903"
"AT3G23560","ALF5","-0.3924240714","6.1285e-06","0.0003010876"
"AT4G00180","YAB3","-2.5520487348","6.7797e-06","0.0003261679"
"AT5G07440","GDH2","-0.6759139425","6.8362e-06","0.0003282664"
"AT2G38750","ANNAT4|AtANN4","1.6007080983","7.4176e-06","0.000349601"
"AT3G24320","ATMSH1|CHM|CHM1|MSH1","0.6726568948","7.9518e-06","0.0003699986"
"AT1G75500","UMAMIT5|WAT1","0.5551473085","8.1612e-06","0.0003769817"
"AT5G22500","FAR1","-1.7482509798","8.327e-06","0.0003818733"
"AT2G16700","ADF5|ATADF5","-0.6115077767","8.4721e-06","0.0003871352"
"AT5G24380","ATYSL2|YSL2","0.7671996454","1.06489e-05","0.0004730404"
"AT2G46680","ATHB-7|ATHB7|HB-7","-0.979254845","1.08092e-05","0.0004793288"
"AT2G19450","ABX45|AS11|ATDGAT|AtDGAT1|DGAT1|RDS1|TAG1","-0.3581599034","1.09049e-05","0.0004827329"
"AT2G45280","ATRAD51C|RAD51C","0.4121609002","1.11323e-05","0.0004902453"
"AT3G14620","CYP72A8","-2.0225925081","1.3156e-05","0.0005563056"
