"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"AT5G44030","CESA4|IRX5|NWS2","0.79794988","1.44575e-05","0.0005945743"
"AT1G67500","ATREV3|REV3","0.3344070018","1.47926e-05","0.000606403"
"AT1G75820","ATCLV1|CLV1|FAS3|FLO5","0.7227370357","1.4825e-05","0.0006067539"
"AT1G48260","CIPK17|SnRK3.21","2.5126463412","1.62517e-05","0.0006577538"
"AT5G46180","DELTA-OAT","-0.4608388172","1.62917e-05","0.0006583292"
"AT3G46640","LUX|PCL1","-0.4339385913","1.65982e-05","0.0006685972"
"AT2G38760","ANN3|ANNAT3|AtANN3","1.0360571408","1.73694e-05","0.0006920093"
"AT1G10480","ZFP5","-0.9642106407","1.77057e-05","0.0007032099"
"AT3G62680","ATPRP3|PRP3","-1.4637152507","1.88712e-05","0.0007414155"
"AT1G55920","AtSAT1|ATSERAT2;1|SAT1|SAT5|SERAT2;1","-0.8033975019","1.9025e-05","0.0007463064"
"AT2G38290","AMT2|AMT2;1|ATAMT2","-0.6093340093","1.99626e-05","0.0007759253"
"AT4G04850","ATKEA3|KEA3","0.9203050197","2.00399e-05","0.0007765602"
"AT2G37040","ATPAL1|PAL1","0.6557031367","2.0168e-05","0.0007799742"
"AT2G28850","CYP710A3","-2.2794944535","2.08181e-05","0.0007946403"
"AT4G21280","PSBQ|PSBQ-1|PSBQA","1.5950836915","2.41958e-05","0.0009099471"
"AT4G21940","CPK15","2.3385623105","2.64837e-05","0.0009765087"
"AT1G49430","LACS2|LRD2","1.9528330608","2.78459e-05","0.0010099799"
"AT1G71692","AGL12|XAL1","0.9397223861","2.82627e-05","0.0010207404"
"AT3G58750","CSY2","-0.3472253655","2.8559e-05","0.0010256306"
"AT5G02030","BLH9|BLR|HB-6|LSN|PNY|RPL|VAN","-0.8788670145","2.86951e-05","0.0010290678"
"AT1G31070","GLCNA.UT1|GlcNAc1pUT1","0.582939661","3.15977e-05","0.001109052"
"AT4G19230","CYP707A1","-1.0608055847","3.16229e-05","0.001109052"
"AT5G40780","AtLHT1|LHT1","-0.7169076265","3.18859e-05","0.0011137359"
"AT2G33150","KAT2|PED1|PKT3","-0.4384474938","3.21314e-05","0.0011161933"
"AT4G37320","CYP81D5","-0.7576075746","3.31817e-05","0.0011417902"
"AT3G10340","PAL4","0.6862272214","3.63827e-05","0.0012238612"
"AT4G38970","AtFBA2|FBA2","1.6882545792","3.86051e-05","0.0012818085"
"AT4G25990","CIL","-2.0476081029","3.92159e-05","0.0012935666"
"AT2G02810","ATUTR1|UTR1","-0.5838459916","4.17467e-05","0.001358695"
"AT4G07960","ATCSLC12|CSLC12","-1.1204430226","4.17948e-05","0.001358695"
"AT5G17420","ATCESA7|CESA7|IRX3|MUR10","0.810461851","4.17998e-05","0.001358695"
"AT5G13150","ATEXO70C1|EXO70C1","-0.910191781","4.2394e-05","0.0013735234"
"AT3G47420","AtG3Pp1|ATPS3|G3Pp1|PS3","-1.4762594278","4.33164e-05","0.0013945466"
"AT1G73370","ATSUS6|SUS6","1.0783452604","4.43156e-05","0.0014213329"
"AT1G80830","ATNRAMP1|NRAMP1|PMIT1","-0.5743062208","4.47774e-05","0.0014343395"
"AT2G31970","ATRAD50|RAD50","0.4405279346","4.73636e-05","0.001500221"
"AT4G23700","ATCHX17|CHX17","-1.4162829416","4.93341e-05","0.0015510748"
"AT1G26360","ATMES13|MES13","-1.6819153854","4.99538e-05","0.0015666935"
"AT1G64280","ATNPR1|NIM1|NPR1|SAI1","-0.3190491483","5.14638e-05","0.001596381"
"AT4G37930","SHM1|SHMT1|STM","0.989783867","5.60247e-05","0.0017067116"
"AT5G21930","ATHMA8|HMA8|PAA2","-0.5865248939","5.77673e-05","0.0017493466"
"AT3G22860","ATEIF3C-2|ATTIF3C2|EIF3C-2|TIF3C2","-2.5391015742","6.23153e-05","0.0018540433"
"AT1G29930","AB140|CAB1|CAB140|LHCB1.3","1.4860610159","6.27049e-05","0.0018569695"
"AT2G40890","CYP98A3|REF8","0.4615215933","6.34009e-05","0.0018754022"
"AT5G13680","ABO1|AtELP1|ELO2","0.4728298021","6.60517e-05","0.0019286634"
"AT4G04700","CPK27","-0.7647255251","6.61092e-05","0.0019286634"
"AT4G39260","ATGRP8|CCR1|GR-RBP8|GRP8|RBGA6","-0.5146787951","6.90135e-05","0.0020019411"
"AT1G72310","ATL3","0.366859652","7.34012e-05","0.0021048448"
"AT1G72610","ATGER1|GER1|GLP1","1.5189446691","7.89818e-05","0.0022401326"
"AT1G55310","At-SCL33|ATSCL33|SCL33|SR33","-0.3182177462","8.30229e-05","0.0023339791"
"AT5G01730","ATSCAR4|SCAR4|WAVE3","0.8046309446","8.5202e-05","0.0023821073"
"AT3G54870","ARK1|AtKINUc|CAE1|MRH2","-0.9453510111","9.02262e-05","0.0024952141"
"AT1G07000","ATEXO70B2|EXO70B2","-0.6810608051","9.20063e-05","0.0025389351"
"AT3G15030","MEE35|TCP4","0.846645598","9.50438e-05","0.0026009086"
"AT2G40940","ERS|ERS1","-0.2717623421","0.0001041095","0.0027855017"
"AT2G40100","LHCB4.3|LHCB8","-0.9838898403","0.0001042723","0.0027869334"
"AT4G39390","ATNST-KT1|NST-K1|URGT4","-0.3615404423","0.0001052992","0.0028012108"
"AT1G62710","AEP2|BETA-VPE|BETAVPE|LEGβ","1.3445074485","0.0001077017","0.0028457803"
"AT2G21660","ATGRP7|CCR2|GR-RBP7|GRP7|RBGA3|SRBP1","-0.616257755","0.0001092506","0.0028629714"
"AT1G51680","4CL.1|4CL1|AT4CL1","0.5517208098","0.0001125388","0.002940469"
"AT2G43820","ATSAGT1|GT|SAGT1|SGT1|UGT74F2","-0.75721699","0.0001125538","0.002940469"
"AT5G52300","LTI65|RD29B","-2.1685978277","0.0001169796","0.003031245"
"AT2G30110","ATUBA1|MOS5|UBA1","0.3279575452","0.0001195215","0.0030845745"
"AT3G24503","ALDH1A|ALDH2C4|REF1","-0.5612291111","0.0001306515","0.0033180796"
"AT5G12330","LRP1","-0.6511830592","0.0001342106","0.0033915789"
"AT2G47190","ATMYB2|MYB2","-1.2666260202","0.0001353239","0.0034129461"
"AT3G54430","SRS6","0.5016407228","0.0001365504","0.0034269301"
"AT3G22740","HMT3","-1.487305584","0.0001367599","0.0034288133"
"AT3G03110","CRM1B|XPO1B","0.3911940384","0.0001380921","0.0034509781"
"AT2G16950","ATTRN1|IMB2|TRN1","0.2846035238","0.0001444516","0.0035863931"
"AT1G17980","PAPS1","0.2238092353","0.0001483877","0.0036627201"
"AT1G19570","ATDHAR1|DHAR1|DHAR5","0.7871222174","0.0001497231","0.0036885398"
"AT3G05930","GLP8","-1.5495214863","0.0001586035","0.0038712412"
"AT3G53260","ATPAL2|PAL2","0.5141518556","0.0001607443","0.0039079537"
"AT3G51160","GMD2|MUR1|MUR_1|SFR8","-0.3708085394","0.0001664327","0.0040072716"
"AT2G29110","ATGLR2.8|GLR2.8","2.4627371763","0.0001671285","0.0040147517"
"AT2G29130","ATLAC2|LAC2","1.3095744893","0.000171889","0.0041101647"
"AT4G23570","SGT1A","-0.4384655719","0.0001734212","0.0041403502"
"AT2G02560","ATCAND1|CAND1|ETA2|HVE|TIP120","0.3309497423","0.000181427","0.0042928009"
"AT2G34430","DEG11|LHB1B1|LHCB1.4","2.1878825763","0.0001887967","0.0044368094"
"AT3G53800","Fes1B","-0.7544167261","0.0001989566","0.0046202134"
"AT3G21720","ICL","-1.6641032998","0.0001999471","0.0046347731"
"AT2G47750","GH3.9","-1.8203619102","0.0002022411","0.0046723021"
"AT3G26500","PIRL2","-0.9927650887","0.0002022991","0.0046723021"
"AT5G51210","OLEO3","1.3560548976","0.0002071692","0.0047577684"
"AT1G45474","Lhca5","1.1480639849","0.0002073057","0.0047577684"
"AT4G35970","APX5","0.9850860533","0.0002102802","0.0048130372"
"AT1G77120","ADH|ADH1|ATADH|ATADH1","-1.3178156832","0.0002128483","0.0048587349"
"AT3G55800","SBPASE","1.4896121331","0.0002162431","0.0049142297"
"AT4G24972","TPD1","2.2154218716","0.0002169372","0.0049256148"
"AT5G23580","ATCDPK9|ATCPK12|CDPK9|CPK12","0.4056003133","0.0002279952","0.0051309976"
"AT4G36870","BLH2|SAW1","0.7961672339","0.0002288608","0.0051459364"
"AT5G22800","EMB1030|EMB263|EMB86","0.8358770544","0.0002290637","0.005145961"
"AT4G28710","ATXIH|XIH","-0.2994089868","0.0002327306","0.0052008456"
"AT4G20910","CRM2|HEN1","0.5046640001","0.0002339479","0.0052189015"
"AT4G27470","ATRMA3|RMA3","-0.5103614459","0.0002478495","0.0054763141"
"AT1G20630","CAT1","-0.8024574782","0.0002503765","0.0055212377"
"AT3G22830","AT-HSFA6B|HSFA6B","-1.5451895222","0.0002627578","0.0057214325"
"AT3G50440","ATMES10|MES10","-1.3874418969","0.0002723182","0.0058660391"
"AT1G49860","ATGSTF14|GSTF14","-1.2987809419","0.0002744505","0.005900454"
"AT5G55910","AGC1-1|D6PK","0.2445835792","0.000286039","0.0060981798"
"AT3G01470","AT3G01472.1|ATHB-1|ATHB1|CPuORF33|HAT5|HB-1|HD-ZIP-1","-0.5030648976","0.0002879875","0.0061277202"
"AT3G57230","AGL16","0.4699900981","0.000290869","0.0061753355"
"AT1G27840","ATCSA-1","0.2631079094","0.0003129342","0.0065403247"
"AT3G01640","ATGLCAK|GLCAK","-0.3210191761","0.0003137849","0.0065473712"
"AT1G62990","IRX11|KNAT7","0.6666370108","0.0003149163","0.0065602425"
"AT1G67970","AT-HSFA8|ATHSFA8|HSFA8","-0.4978935442","0.0003320278","0.0068384854"
"AT3G24170","ATGR1|GR1","0.3048919138","0.0003360434","0.0068850654"
"AT2G02930","ATGSTF3|GST16|GSTF3","-1.3381762512","0.0003423816","0.0069896291"
"AT3G10570","CYP77A6","1.2175812861","0.0003488776","0.0070825481"
"AT1G66340","AtETR1|EIN1|ETR|ETR1|RDO3","-0.2033738043","0.0003583707","0.0072266529"
"AT4G32810","ATCCD8|CCD8|MAX4","1.6412163113","0.0003584575","0.0072266529"
"AT1G16110","WAKL6","-0.8754590553","0.0003613773","0.0072440235"
"AT2G19570","AT-CDA1|CDA1|DESZ","-0.4915403009","0.000373251","0.0074178914"
"AT2G38340","DREB19","1.2258557626","0.0003753788","0.0074369922"
"AT5G05390","LAC12","1.7084237632","0.0003850303","0.0075693929"
"AT2G44160","MTHFR2","0.2893431683","0.0003865329","0.0075872322"
"AT2G26890","GRV2|KAM2|MTV12|SGR8","0.2965994497","0.0003912229","0.0076381321"
"AT3G21240","4CL2|AT4CL2","0.431339079","0.0004073308","0.0078966569"
"AT1G63020","NRPD1|NRPD1A|POL|SDE4|SMD2","0.4931964333","0.0004349654","0.0083123641"
"AT4G37000","ACD2|ATRCCR","0.4219393803","0.0004352108","0.0083123641"
"AT5G19600","SULTR3;5","1.6111704043","0.0004570391","0.0086515097"
"AT3G27010","AT-TCP20|ATTCP20|PCF1|TCP20","0.315104472","0.0004642884","0.0087627138"
"AT3G48000","ALDH2|ALDH2A|ALDH2B4","-0.3535303721","0.0004740501","0.0089139601"
"AT4G35860","ATGB2|ATRAB2C|ATRABB1B|GB2","-0.228000722","0.0004785684","0.0089527046"
"AT2G01660","PDLP6","0.5488658103","0.000491425","0.0091462436"
"AT1G15510","ATECB2|ECB2|VAC1","0.6701953538","0.0004985388","0.0092583704"
"AT3G14630","CYP72A9","-2.2564121351","0.0004998239","0.0092706897"
"AT4G36360","BGAL3","0.4701018083","0.0005305298","0.0096863704"
"AT1G55910","ZIP11","0.6309099793","0.0005307028","0.0096863704"
"AT1G78000","SEL1|SULTR1;2","-0.7235863752","0.0005346488","0.0097444417"
"AT3G14440","ATNCED3|NCED3|SIS7|STO1","-1.2745002869","0.0005589999","0.0100730594"
"AT5G61010","ATEXO70E2|EXO70E2","-0.5627255616","0.0005604311","0.0100745737"
"AT2G34960","CAT5","-2.0980745964","0.0005742264","0.0102892653"
"AT5G24090","ATCHIA|CHIA|LYS1","-0.654034051","0.0006008054","0.0107053362"
"AT5G53170","FTSH11","0.3969494937","0.0006038053","0.0107414688"
"AT2G45400","BEN1","-0.5020052658","0.0006314697","0.0111119488"
"AT5G28490","LSH1|OBO2","2.2371666524","0.0006442676","0.011317977"
"AT3G14610","CYP72A7","-0.27005881","0.000645521","0.0113279391"
"AT5G35410","ATSOS2|CIPK24|SNRK3.11|SOS2","-0.2834482567","0.0006503625","0.0113670114"
"AT4G37870","PCK1|PEPCK","-0.3678036504","0.00071203","0.0121521686"
"AT3G16810","APUM24|PUM24","0.4176772275","0.0007310905","0.0124358547"
"AT1G53680","ATGSTU28|GSTU28","-1.0841464912","0.0007485301","0.0126481256"
"AT3G20410","CPK9","-0.3844400991","0.0007690513","0.0129178329"
"AT1G64780","AMT1;2|ATAMT1;2","1.1668674372","0.0007709698","0.0129415333"
"AT5G66350","SHI","-1.0972210478","0.0007780815","0.0130351655"
"AT2G44100","AT-GDI1|ATGDI1|GDI1","-0.1928934628","0.0007844391","0.0131118723"
"AT2G47650","UXS4","-0.308340946","0.0007847171","0.0131118723"
"AT5G27680","RECQSIM","0.4265429857","0.0007852586","0.0131123266"
"AT5G19560","ATROPGEF10|GEF10|ROPGEF10","-1.1362663331","0.0008347657","0.0137499068"
"AT1G49530","GFPPS3|GGPPS1|GGPS6","-0.9971956394","0.0008770096","0.0143162549"
"AT3G62410","CP12|CP12-2","-0.8695780599","0.0008914403","0.0145053894"
"AT5G62230","ERL1","-2.1128032182","0.0009011119","0.0146161275"
"AT2G26070","AtRTE1|RTE1","-0.3070809903","0.0009270053","0.0148565557"
"AT2G45740","PEX11D","-0.4550049589","0.000964031","0.0153363884"
"AT1G18870","ATICS2|ICS2","2.135617479","0.0009920447","0.015672339"
"AT4G22570","APT3","0.4471762294","0.0010094599","0.0158695641"
"AT5G65780","ATBCAT-5","-0.1597885631","0.0010095079","0.0158695641"
"AT2G20990","AtSYT1|ATSYTA|NTMC2T1.1|NTMC2TYPE1.1|SYT1|SYTA","0.1608093499","0.0010181588","0.0159270016"
"AT3G13750","BGAL1","0.3735767663","0.0010226618","0.0159680536"
"AT4G12110","ATSMO1-1|SMO1-1","0.4017199252","0.0010287087","0.0160330155"
"AT1G13060","PBE1","0.2597643204","0.0010333355","0.0160462776"
"AT1G08090","ACH1|ATNRT2.1|ATNRT2:1|LIN1|NRT2|NRT2.1|NRT2:1|NRT2;1AT","2.1997190479","0.0010560183","0.0163199818"
"AT4G20050","QRT3","1.1873144593","0.0010902505","0.0167302731"
"AT1G10070","ATBCAT-2|BCAT-2|BCAT2","-1.241827809","0.0010940982","0.0167652138"
"AT2G16370","AtDRTS1|DHFR-TS-1|THY-1","0.3231603912","0.0011023116","0.0168505639"
"AT1G16130","WAKL2","-0.7862783523","0.0011095391","0.0169508861"
"AT2G31380","BBX25|STH","0.9542688613","0.0011113116","0.0169677983"
"AT1G06800","DALL4|PLA-I{gamma}1","-0.4202811143","0.0011145872","0.0170076269"
"AT5G25370","PLDALPHA3","1.2477306854","0.0011196202","0.0170640019"
"AT5G61210","ATSNAP33|ATSNAP33B|SNAP33|SNP33","-0.3308289265","0.0011463175","0.0173980969"
"AT3G11660","NHL1","0.5916819649","0.0011547988","0.0174748132"
"AT1G47550","SEC3A","0.1935548319","0.0011970923","0.0179018688"
"AT1G52160","TRZ3","0.3192984906","0.0012080742","0.0180242696"
"AT2G06210","ELF8|NRF2|VIP6","0.2351045064","0.0012239985","0.0182405112"
"AT1G05300","ZIP5","-0.7631894785","0.0012437309","0.0184375869"
"AT3G03600","RPS2","0.2525737045","0.0012599244","0.0186127193"
"AT2G40030","ATNRPD1B|DMS5|DRD3|NRPD1B|NRPE1","0.5134339936","0.0012747539","0.0187773978"
"AT1G01610","ATGPAT4|GPAT4","0.8430504016","0.0012924963","0.0189620665"
"AT2G36590","ATPROT3|ProT3","-1.7631316556","0.0013359475","0.0193986269"
"AT1G09930","ATOPT2|OPT2","-1.5242978039","0.001348044","0.0195085939"
"AT4G11600","ATGPX6|GPX6|GPXL6|LSC803|PHGPX","-0.3771293154","0.0013481113","0.0195085939"
"AT1G05470","CVP2","0.3616208452","0.0013733487","0.0197616506"
"AT3G29200","ATCM1|CM1","0.3088143185","0.0013800888","0.0198243491"
"AT3G16950","LPD1|ptlpd1","0.3408368429","0.0013917994","0.0199340933"
"AT3G28910","ATMYB30|MYB30","-0.6144182848","0.00139606","0.0199645191"
"AT5G63160","BT1","0.8033889183","0.0014015662","0.0200320262"
"AT5G50380","ATEXO70F1|EXO70F1","0.2835911839","0.0014268877","0.0203567621"
"AT1G78510","AtSPS1|SPS1","0.4702252374","0.0014296702","0.0203765957"
"AT1G29940","NRPA2","0.308271653","0.0014308632","0.020382207"
"AT4G22305","SOBER1","-0.5410633609","0.0014317803","0.0203838829"
"AT4G37340","CYP81D3","-0.7319044875","0.0014445576","0.0205543137"
"AT1G06570","HPD|HPPD|PDS1","-0.6145725848","0.0014752561","0.0208514851"
"AT1G73410","ATMYB54|MYB54","1.1186655625","0.0014825841","0.020931854"
"AT2G40370","LAC5","1.4324552969","0.0014976889","0.0210855216"
"AT1G70510","ATK1|KNAT2","0.5261953165","0.0014984299","0.0210855216"
"AT1G55850","ATCSLE1|CSLE1","-0.4581409908","0.0015448533","0.0216313393"
"AT2G24150","HHP3","-0.3000518665","0.0015574776","0.0217245972"
"AT1G58360","AAP1|AtAAP1|NAT2","-0.3988313745","0.0015635778","0.0217949086"
"AT3G05490","RALFL22","-0.404723895","0.0015761934","0.0219496333"
"AT3G06010","ATCHR12|CHR12","0.2311948346","0.0015775675","0.0219567776"
"AT1G01700","ATROPGEF2|ROPGEF2","0.6283564722","0.0015784897","0.0219576267"
"AT2G29190","APUM2|PUM2","0.2671891883","0.001586672","0.0220473916"
"AT3G06483","ATPDHK|PDK","0.2738816035","0.0016366253","0.0225359768"
"AT5G58350","WNK4|ZIK2","-0.5800415763","0.0016554524","0.0227551081"
"AT5G03720","AT-HSFA3|HSFA3","-0.7395588994","0.0016729588","0.0229586135"
"AT4G37330","CYP81D4","-0.459993986","0.0016770544","0.0229777185"
"AT5G16750","TOZ","0.3505166162","0.0016911511","0.0231211645"
"AT3G24590","PLSP1","0.3068869632","0.001692564","0.02312808"
"AT3G13330","PA200","0.2631238653","0.0017074779","0.0232819628"
