experiment study sample run
DRX000325 DRP000209 DRS000288 DRR000618
DRX000326 DRP000209 DRS000289 DRR000619
DRX000327 DRP000209 DRS000290 DRR000620
DRX000328 DRP000209 DRS000291 DRR000621
DRX007662 DRP001015 DRS007600 DRR008476
DRX007663 DRP001015 DRS007601 DRR008477
DRX007664 DRP001015 DRS007602 DRR008478
DRX012741 DRP001245 DRS012541 DRR014210
DRX012742 DRP001245 DRS012542 DRR014211
DRX014481 DRP001756 DRS014211 DRR016112
DRX014482 DRP001756 DRS014211 DRR016113
DRX014483 DRP001756 DRS014212 DRR016114
DRX014484 DRP001756 DRS014212 DRR016115
DRX014485 DRP001756 DRS014212 DRR016116
DRX014494 DRP001761 DRS014221 DRR016125
DRX014495 DRP001761 DRS014221 DRR016126
DRX014496 DRP001761 DRS014221 DRR016127
DRX014497 DRP001761 DRS014221 DRR016128
DRX014498 DRP001761 DRS014222 DRR016129
DRX014499 DRP001761 DRS014222 DRR016130
DRX014500 DRP001761 DRS014222 DRR016131
DRX014501 DRP001761 DRS014222 DRR016132
DRX014502 DRP001761 DRS014223 DRR016133
DRX014503 DRP001761 DRS014223 DRR016134
DRX014504 DRP001761 DRS014223 DRR016135
DRX014505 DRP001761 DRS014223 DRR016136
DRX014506 DRP001761 DRS014224 DRR016137
DRX014507 DRP001761 DRS014224 DRR016138
DRX014508 DRP001761 DRS014224 DRR016139
DRX014509 DRP001761 DRS014224 DRR016140
DRX014760 DRP001800 DRS014294 DRR016393
DRX014761 DRP001800 DRS014295 DRR016394
DRX014762 DRP001800 DRS014296 DRR016395
DRX014763 DRP001800 DRS014297 DRR016396
DRX016648 DRP002301 DRS016103 DRR018422
DRX016649 DRP002301 DRS016104 DRR018423
DRX016650 DRP002301 DRS016105 DRR018424
DRX016651 DRP002301 DRS016106 DRR018425
DRX016652 DRP002301 DRS016107 DRR018426
DRX016653 DRP002301 DRS016108 DRR018427
DRX016654 DRP002301 DRS016109 DRR018428
DRX019488 DRP003143 DRS030798 DRR021335
DRX019489 DRP003143 DRS030797 DRR021336
DRX026439 DRP003066 DRS037968 DRR029379
DRX026440 DRP003066 DRS037969 DRR029380
DRX026742 DRP004772 DRS087269 DRR029684
DRX026743 DRP004772 DRS087270 DRR029685
DRX026744 DRP004772 DRS087271 DRR029686
DRX026745 DRP004772 DRS087272 DRR029687
DRX026746 DRP004772 DRS087269 DRR029688
DRX026747 DRP004772 DRS087270 DRR029689
DRX026748 DRP004772 DRS087271 DRR029690
DRX026749 DRP004772 DRS087272 DRR029691
DRX028038 DRP006520 DRS152236 DRR031036
DRX028039 DRP006520 DRS152237 DRR031037
DRX028040 DRP006520 DRS152238 DRR031038
DRX028041 DRP006520 DRS152239 DRR031039
DRX028042 DRP006520 DRS152240 DRR031040
DRX028043 DRP006520 DRS152241 DRR031041
DRX028044 DRP006520 DRS152242 DRR031042
DRX028045 DRP006520 DRS152243 DRR031043
DRX028046 DRP006520 DRS152244 DRR031044
DRX028047 DRP006520 DRS152245 DRR031045
DRX028048 DRP006520 DRS152246 DRR031046
DRX028049 DRP006520 DRS152247 DRR031047
DRX028050 DRP006520 DRS152248 DRR031048
DRX028051 DRP006520 DRS152249 DRR031049
DRX028052 DRP006520 DRS152250 DRR031050
DRX028053 DRP006520 DRS152251 DRR031051
DRX028054 DRP006520 DRS152252 DRR031052
