Source Name,Sample Name,Characteristics: Organism,Characteristics: ecotype,Factor Value: Organism Part,Factor Value: Spaceflight,Characteristics: Material Type,Protocol REF,Parameter Value: light source,Parameter Value: Light intensity,Parameter Value: Hardware,Parameter Value: growth environment,Parameter Value: growth time,Protocol REF,Protocol REF,Parameter Value: Age at harvest,Parameter Value: Sample preservation method,Parameter Value: Sample storage temperature,Comment: Seed source,Comment: Sample name notes,Comment: Original Submitted Sample Name
GSM2517002,GSM2517002,Arabidopsis thaliana,Wassilewskija ecotype,root,Ground Control,root,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISSES,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Ground Control, Root Rep. 1 [BS]",Not applicable
GSM2517003,GSM2517003,Arabidopsis thaliana,Wassilewskija ecotype,root,Ground Control,root,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISSES,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Ground Control, Root Rep. 2 [BS]",Not applicable
GSM2517004,GSM2517004,Arabidopsis thaliana,Wassilewskija ecotype,root,Ground Control,root,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISSES,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Ground Control, Root Rep. 3 [BS]",Not applicable
GSM2517005,GSM2517005,Arabidopsis thaliana,Wassilewskija ecotype,root,Space Flight,root,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISS,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Spaceflight, Root Rep. 1 [BS]",Not applicable
GSM2517006,GSM2517006,Arabidopsis thaliana,Wassilewskija ecotype,root,Space Flight,root,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISS,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Spaceflight, Root Rep. 2 [BS]",Not applicable
GSM2517007,GSM2517007,Arabidopsis thaliana,Wassilewskija ecotype,root,Space Flight,root,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISS,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Spaceflight, Root Rep. 3 [BS]",Not applicable
GSM2517008,GSM2517008,Arabidopsis thaliana,Wassilewskija ecotype,leaf,Ground Control,leaf,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISSES,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Ground Control, Leaf Rep. 1 [BS]",Not applicable
GSM2517009,GSM2517009,Arabidopsis thaliana,Wassilewskija ecotype,leaf,Ground Control,leaf,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISSES,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Ground Control, Leaf Rep. 2 [BS]",Not applicable
GSM2517010,GSM2517010,Arabidopsis thaliana,Wassilewskija ecotype,leaf,Ground Control,leaf,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISSES,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Ground Control, Leaf Rep. 3 [BS]",Not applicable
GSM2517011,GSM2517011,Arabidopsis thaliana,Wassilewskija ecotype,leaf,Space Flight,leaf,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISS,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Spaceflight, Leaf Rep. 1 [BS]",Not applicable
