Source Name,Sample Name,Characteristics: Organism,Characteristics: ecotype,Factor Value: Organism Part,Factor Value: Spaceflight,Characteristics: Material Type,Protocol REF,Parameter Value: light source,Parameter Value: Light intensity,Parameter Value: Hardware,Parameter Value: growth environment,Parameter Value: growth time,Protocol REF,Protocol REF,Parameter Value: Age at harvest,Parameter Value: Sample preservation method,Parameter Value: Sample storage temperature,Comment: Seed source,Comment: Sample name notes,Comment: Original Submitted Sample Name
GSM2517012,GSM2517012,Arabidopsis thaliana,Wassilewskija ecotype,leaf,Space Flight,leaf,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISS,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Spaceflight, Leaf Rep. 2 [BS]",Not applicable
GSM2517013,GSM2517013,Arabidopsis thaliana,Wassilewskija ecotype,leaf,Space Flight,leaf,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISS,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Spaceflight, Leaf Rep. 3 [BS]",Not applicable
Atha_Ws_root_GC_Rep1,Atha_Ws_root_GC_Rep1,Arabidopsis thaliana,Wassilewskija ecotype,root,Ground Control,root,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISSES,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Ground Control, Root Rep. 1",GSM2516794
Atha_Ws_root_GC_Rep2,Atha_Ws_root_GC_Rep2,Arabidopsis thaliana,Wassilewskija ecotype,root,Ground Control,root,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISSES,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Ground Control, Root Rep. 2",GSM2516795
Atha_Ws_root_GC_Rep3,Atha_Ws_root_GC_Rep3,Arabidopsis thaliana,Wassilewskija ecotype,root,Ground Control,root,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISSES,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Ground Control, Root Rep. 3",GSM2516796
Atha_Ws_root_FLT_Rep1,Atha_Ws_root_FLT_Rep1,Arabidopsis thaliana,Wassilewskija ecotype,root,Space Flight,root,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISS,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Spaceflight, Root Rep. 1",GSM2516797
Atha_Ws_root_FLT_Rep2,Atha_Ws_root_FLT_Rep2,Arabidopsis thaliana,Wassilewskija ecotype,root,Space Flight,root,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISS,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Spaceflight, Root Rep. 2",GSM2516798
Atha_Ws_root_FLT_Rep3,Atha_Ws_root_FLT_Rep3,Arabidopsis thaliana,Wassilewskija ecotype,root,Space Flight,root,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISS,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Spaceflight, Root Rep. 3",GSM2516799
Atha_Ws_leaf_GC_Rep1,Atha_Ws_leaf_GC_Rep1,Arabidopsis thaliana,Wassilewskija ecotype,leaf,Ground Control,leaf,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISSES,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Ground Control, Leaf Rep. 1",GSM2516800
Atha_Ws_leaf_GC_Rep2,Atha_Ws_leaf_GC_Rep2,Arabidopsis thaliana,Wassilewskija ecotype,leaf,Ground Control,leaf,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISSES,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Ground Control, Leaf Rep. 2",GSM2516801
Atha_Ws_leaf_GC_Rep3,Atha_Ws_leaf_GC_Rep3,Arabidopsis thaliana,Wassilewskija ecotype,leaf,Ground Control,leaf,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISSES,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Ground Control, Leaf Rep. 3",GSM2516802
Atha_Ws_leaf_FLT_Rep1,Atha_Ws_leaf_FLT_Rep1,Arabidopsis thaliana,Wassilewskija ecotype,leaf,Space Flight,leaf,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISS,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Spaceflight, Leaf Rep. 1",GSM2516803
Atha_Ws_leaf_FLT_Rep2,Atha_Ws_leaf_FLT_Rep2,Arabidopsis thaliana,Wassilewskija ecotype,leaf,Space Flight,leaf,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISS,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Spaceflight, Leaf Rep. 2",GSM2516804
Atha_Ws_leaf_FLT_Rep3,Atha_Ws_leaf_FLT_Rep3,Arabidopsis thaliana,Wassilewskija ecotype,leaf,Space Flight,leaf,growth protocol,light-emitting diode,100-135 micromoles/m^2/s,Vegetable Production System (VEGGIE),ISS,11 day,treatment protocol,sample collection protocol,11 day,RNAlater,-80 degree Celsius,ABRC stock CS915 (www.arabidopsis.org),"Spaceflight, Leaf Rep. 3",GSM2516805
