Accession,Source Name,Sample Name,Characteristics: Seed Source,Factor Value: Spaceflight,Factor Value: Ecotype,Characteristics: genotype,Characteristics: Material Type,Parameter Value: Hardware,Parameter Value: growth environment,Parameter Value: Growth Medium,Parameter Value: light source,Parameter Value: Sample storage temperature,Parameter Value: Age at sample collection,Parameter Value: Sample Preservation Method,Comment: Original Submitted Sample Name,
GLDS-37,Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1,Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-FL-C1,
GLDS-37,Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2,Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Ler-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-FL-C2,
GLDS-37,Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3,Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Cvi-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-FL-C3,
GLDS-37,Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4,Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-FL-C4,
GLDS-37,Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5,Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Ler-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-FL-C5,
GLDS-37,Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1,Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-FL-D1,
GLDS-37,Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2,Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Cvi-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-FL-D2,
GLDS-37,Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3,Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Ler-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-FL-D3,
GLDS-37,Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4,Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-FL-D4,
GLDS-37,Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5,Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Cvi-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-FL-D5,
