Accession,Source Name,Sample Name,Characteristics: Seed Source,Factor Value: Spaceflight,Factor Value: Ecotype,Characteristics: genotype,Characteristics: Material Type,Parameter Value: Hardware,Parameter Value: growth environment,Parameter Value: Growth Medium,Parameter Value: light source,Parameter Value: Sample storage temperature,Parameter Value: Age at sample collection,Parameter Value: Sample Preservation Method,Comment: Original Submitted Sample Name,
GLDS-37,Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1,Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-GC-C1,
GLDS-37,Atha_Ler-0_sl-pool_GC_Rep1_R1-GC-C2,Atha_Ler-0_sl-pool_GC_Rep1_R1-GC-C2,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Ler-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-GC-C2,
GLDS-37,Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3,Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Cvi-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-GC-C3,
GLDS-37,Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4,Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-GC-C4,
GLDS-37,Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5,Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Ler-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-GC-C5,
GLDS-37,Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1,Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-GC-D1,
GLDS-37,Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2,Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Cvi-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-GC-D2,
GLDS-37,Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3,Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Ler-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-GC-D3,
GLDS-37,Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4,Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-GC-D4,
GLDS-37,Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5,Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Cvi-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-GC-D5,
GLDS-37,Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1,Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-C1,
GLDS-37,Atha_Ler-0_sl-pool_FLT_Rep4_R2-FL-C2,Atha_Ler-0_sl-pool_FLT_Rep4_R2-FL-C2,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Ler-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-C2,
GLDS-37,Atha_Cvi-0_sl-pool_FLT_Rep4_R2-FL-C3,Atha_Cvi-0_sl-pool_FLT_Rep4_R2-FL-C3,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Cvi-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-C3,
GLDS-37,Atha_Ws-2_sl-pool_FLT_Rep6_R2-FL-C4,Atha_Ws-2_sl-pool_FLT_Rep6_R2-FL-C4,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-C4,
GLDS-37,Atha_Ler-0_sl-pool_FLT_Rep5_R2-FL-C5,Atha_Ler-0_sl-pool_FLT_Rep5_R2-FL-C5,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Ler-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-C5,
GLDS-37,Atha_Ws-2_sl-pool_FLT_Rep7_R2-FL-D1,Atha_Ws-2_sl-pool_FLT_Rep7_R2-FL-D1,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-D1,
GLDS-37,Atha_Cvi-0_sl-pool_FLT_Rep5_R2-FL-D2,Atha_Cvi-0_sl-pool_FLT_Rep5_R2-FL-D2,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Cvi-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-D2,
GLDS-37,Atha_Ler-0_sl-pool_FLT_Rep6_R2-FL-D3,Atha_Ler-0_sl-pool_FLT_Rep6_R2-FL-D3,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Ler-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-D3,
GLDS-37,Atha_Ws-2_sl-pool_FLT_Rep8_R2-FL-D4,Atha_Ws-2_sl-pool_FLT_Rep8_R2-FL-D4,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-D4,
GLDS-37,Atha_Cvi-0_sl-pool_FLT_Rep6_R2-FL-D5,Atha_Cvi-0_sl-pool_FLT_Rep6_R2-FL-D5,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Cvi-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-D5,
GLDS-37,Atha_Ws-2_sl-pool_GC_Rep5_R2-GC-C1,Atha_Ws-2_sl-pool_GC_Rep5_R2-GC-C1,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-C1,
GLDS-37,Atha_Ler-0_sl-pool_GC_Rep4_R2-GC-C2,Atha_Ler-0_sl-pool_GC_Rep4_R2-GC-C2,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Ler-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-C2,
GLDS-37,Atha_Cvi-0_sl-pool_GC_Rep4_R2-GC-C3,Atha_Cvi-0_sl-pool_GC_Rep4_R2-GC-C3,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Cvi-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-C3,
GLDS-37,Atha_Ws-2_sl-pool_GC_Rep6_R2-GC-C4,Atha_Ws-2_sl-pool_GC_Rep6_R2-GC-C4,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-C4,
GLDS-37,Atha_Ler-0_sl-pool_GC_Rep5_R2-GC-C5,Atha_Ler-0_sl-pool_GC_Rep5_R2-GC-C5,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Ler-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-C5,
GLDS-37,Atha_Ws-2_sl-pool_GC_Rep7_R2-GC-D1,Atha_Ws-2_sl-pool_GC_Rep7_R2-GC-D1,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-D1,
GLDS-37,Atha_Cvi-0_sl-pool_GC_Rep5_R2-GC-D2,Atha_Cvi-0_sl-pool_GC_Rep5_R2-GC-D2,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Cvi-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-D2,
GLDS-37,Atha_Ler-0_sl-pool_GC_Rep6_R2-GC-D3,Atha_Ler-0_sl-pool_GC_Rep6_R2-GC-D3,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Ler-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-D3,
GLDS-37,Atha_Ws-2_sl-pool_GC_Rep8_R2-GC-D4,Atha_Ws-2_sl-pool_GC_Rep8_R2-GC-D4,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Ws-2,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-D4,
GLDS-37,Atha_Cvi-0_sl-pool_GC_Rep6_R2-GC-D5,Atha_Cvi-0_sl-pool_GC_Rep6_R2-GC-D5,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Cvi-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-D5,
GLDS-37,Atha_Col-0_sl-pool_FLT_Rep1_R1-FL-A1,Atha_Col-0_sl-pool_FLT_Rep1_R1-FL-A1,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-FL-A1,
GLDS-37,Atha_Col-0_sl-pool_FLT_Rep2_R1-FL-A4,Atha_Col-0_sl-pool_FLT_Rep2_R1-FL-A4,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-FL-A4,
GLDS-37,Atha_Col-0_sl-pool_FLT_Rep3_R1-FL-B1,Atha_Col-0_sl-pool_FLT_Rep3_R1-FL-B1,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-FL-B1,
GLDS-37,Atha_Col-0_sl-pool_FLT_Rep4_R1-FL-B4,Atha_Col-0_sl-pool_FLT_Rep4_R1-FL-B4,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-FL-B4,
GLDS-37,Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1,Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-GC-A1,
GLDS-37,Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4,Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-GC-A4,
GLDS-37,Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1,Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-GC-B1,
GLDS-37,Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4,Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep1-GC-B4,
GLDS-37,Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1,Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-A1,
GLDS-37,Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4,Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-A4,
GLDS-37,Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1,Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-B1,
GLDS-37,Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4,Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4,"Lehle Seeds (Round Rock, TX, USA)",Space Flight,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS-US Laboratory,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-FL-B4,
GLDS-37,Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1,Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-A1,
GLDS-37,Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4,Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-A4,
GLDS-37,Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1,Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-B1,
GLDS-37,Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4,Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4,"Lehle Seeds (Round Rock, TX, USA)",Ground Control,Col-0,Wild Type,Seedlings,BRIC-PDFU,ISS Environmental Simulator,"sterile 1/2 strength Epstein's medium supplemented with 1% (w/v) Phytagel and 10 mM sucrose, pH 5.7",Dark Treatment,-80 degree Celsius,8 day,RNALater,Rep2-GC-B4,
GLDS-38,Group-1.Subject-1,Atha_WT-Col-0_sl_FLT_Rep1_G1S1,"Arabidopsis Biological Resource Center, Columbus, Ohio, USA",Space Flight,Col-0,Wild Type,Seedling,BRIC-PDFU,ISS-US Laboratory,0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar,Dark Treatment,-80 degree Celsius,3 day,RNALater,Group-1.Subject-1.seedlings.Pooled,Space FlightGroup-1.Subject-1.seedlings.Pooled
