Sample_Name,Atha_Col-0_bzip28-2_no_light_space_radiation_Space_Flight_Rep1,Atha_Col-0_bzip28-2_no_light_space_radiation_Space_Flight_Rep2,Atha_Col-0_bzip28-2_no_light_space_radiation_Space_Flight_Rep3,Atha_Col-0_bzip28-2_no_light_space_radiation_Space_Flight_Rep4,Atha_Col-0_bzip28-2_no_light_non-irradiated_Ground_Control_Rep1,Atha_Col-0_bzip28-2_no_light_non-irradiated_Ground_Control_Rep2,Atha_Col-0_bzip28-2_no_light_non-irradiated_Ground_Control_Rep3,Atha_Col-0_bzip28-2_no_light_non-irradiated_Ground_Control_Rep4,Atha_Col-0_bzip60-2_no_light_space_radiation_Space_Flight_Rep1,Atha_Col-0_bzip60-2_no_light_space_radiation_Space_Flight_Rep2,Atha_Col-0_bzip60-2_no_light_space_radiation_Space_Flight_Rep3,Atha_Col-0_bzip60-2_no_light_space_radiation_Space_Flight_Rep4,Atha_Col-0_bzip60-2_no_light_non-irradiated_Ground_Control_Rep1,Atha_Col-0_bzip60-2_no_light_non-irradiated_Ground_Control_Rep2,Atha_Col-0_bzip60-2_no_light_non-irradiated_Ground_Control_Rep3,Atha_Col-0_bzip60-2_no_light_non-irradiated_Ground_Control_Rep4,Atha_Col-0_bzip28-2_bzip60-1_no_light_space_radiation_Space_Flight_Rep1,Atha_Col-0_bzip28-2_bzip60-1_no_light_space_radiation_Space_Flight_Rep2,Atha_Col-0_bzip28-2_bzip60-1_no_light_space_radiation_Space_Flight_Rep3,Atha_Col-0_bzip28-2_bzip60-1_no_light_space_radiation_Space_Flight_Rep4,Atha_Col-0_bzip28-2_bzip60-1_no_light_space_radiation_Space_Flight_Rep5,Atha_Col-0_bzip28-2_bzip60-1_no_light_non-irradiated_Ground_Control_Rep1,Atha_Col-0_bzip28-2_bzip60-1_no_light_non-irradiated_Ground_Control_Rep2,Atha_Col-0_bzip28-2_bzip60-1_no_light_non-irradiated_Ground_Control_Rep3,Atha_Col-0_bzip28-2_bzip60-1_no_light_non-irradiated_Ground_Control_Rep5,Atha_Col-0_bzip28-2_bzip60-1_no_light_non-irradiated_Ground_Control_Rep4,Atha_Col-0_ire1a-4_ire1b-2_no_light_space_radiation_Space_Flight_Rep1,Atha_Col-0_ire1a-4_ire1b-2_no_light_space_radiation_Space_Flight_Rep2,Atha_Col-0_ire1a-4_ire1b-2_no_light_space_radiation_Space_Flight_Rep3,Atha_Col-0_ire1a-4_ire1b-2_no_light_space_radiation_Space_Flight_Rep4,Atha_Col-0_ire1a-4_ire1b-2_no_light_non-irradiated_Ground_Control_Rep1,Atha_Col-0_ire1a-4_ire1b-2_no_light_non-irradiated_Ground_Control_Rep2,Atha_Col-0_ire1a-4_ire1b-2_no_light_non-irradiated_Ground_Control_Rep3,Atha_Col-0_ire1a-4_ire1b-2_no_light_non-irradiated_Ground_Control_Rep4,Atha_Col-0_WT_no_light_space_radiation_Space_Flight_Rep1,Atha_Col-0_WT_no_light_space_radiation_Space_Flight_Rep2,Atha_Col-0_WT_no_light_space_radiation_Space_Flight_Rep3,Atha_Col-0_WT_no_light_space_radiation_Space_Flight_Rep4,Atha_Col-0_WT_no_light_space_radiation_Space_Flight_Rep5,Atha_Col-0_WT_no_light_non-irradiated_Ground_Control_Rep1,Atha_Col-0_WT_no_light_non-irradiated_Ground_Control_Rep2,Atha_Col-0_WT_no_light_non-irradiated_Ground_Control_Rep5,Atha_Col-0_WT_no_light_non-irradiated_Ground_Control_Rep3,Atha_Col-0_WT_no_light_non-irradiated_Ground_Control_Rep4,Atha_Ws-2_Seedling_Space_FlightT_Rep1,Atha_Ler-0_Seedling_Space_FlightT_Rep1,Atha_Cvi-0_Seedling_Space_FlightT_Rep1,Atha_Ws-2_Seedling_Space_FlightT_Rep2,Atha_Ler-0_Seedling_Space_FlightT_Rep2,Atha_Ws-2_Seedling_Space_FlightT_Rep3,Atha_Cvi-0_Seedling_Space_FlightT_Rep2,Atha_Ler-0_Seedling_Space_FlightT_Rep3,Atha_Ws-2_Seedling_Space_FlightT_Rep4,Atha_Cvi-0_Seedling_Space_FlightT_Rep3,Atha_Ws-2_Seedling_Ground_Control_Rep1,Atha_Ler-0_Seedling_Ground_Control_Rep1,Atha_Cvi-0_Seedling_Ground_Control_Rep1,Atha_Ws-2_Seedling_Ground_Control_Rep2,Atha_Ler-0_Seedling_Ground_Control_Rep2,Atha_Ws-2_Seedling_Ground_Control_Rep3,Atha_Cvi-0_Seedling_Ground_Control_Rep2,Atha_Ler-0_Seedling_Ground_Control_Rep3,Atha_Ws-2_Seedling_Ground_Control_Rep4,Atha_Cvi-0_Seedling_Ground_Control_Rep3,Atha_Ws-2_Seedling_Space_FlightT_Rep5,Atha_Ler-0_Seedling_Space_FlightT_Rep4,Atha_Cvi-0_Seedling_Space_FlightT_Rep4,Atha_Ws-2_Seedling_Space_FlightT_Rep6,Atha_Ler-0_Seedling_Space_FlightT_Rep5,Atha_Ws-2_Seedling_Space_FlightT_Rep7,Atha_Cvi-0_Seedling_Space_FlightT_Rep5,Atha_Ler-0_Seedling_Space_FlightT_Rep6,Atha_Ws-2_Seedling_Space_FlightT_Rep8,Atha_Cvi-0_Seedling_Space_FlightT_Rep6,Atha_Ws-2_Seedling_Ground_Control_Rep5,Atha_Ler-0_Seedling_Ground_Control_Rep4,Atha_Cvi-0_Seedling_Ground_Control_Rep4,Atha_Ws-2_Seedling_Ground_Control_Rep6,Atha_Ler-0_Seedling_Ground_Control_Rep5,Atha_Ws-2_Seedling_Ground_Control_Rep7,Atha_Cvi-0_Seedling_Ground_Control_Rep5,Atha_Ler-0_Seedling_Ground_Control_Rep6,Atha_Ws-2_Seedling_Ground_Control_Rep8,Atha_Cvi-0_Seedling_Ground_Control_Rep6,Atha_Col-0_Seedling_Space_FlightT_Rep1,Atha_Col-0_Seedling_Space_FlightT_Rep2,Atha_Col-0_Seedling_Space_FlightT_Rep3,Atha_Col-0_Seedling_Space_FlightT_Rep4,Atha_Col-0_Seedling_Ground_Control_Rep1,Atha_Col-0_Seedling_Ground_Control_Rep2,Atha_Col-0_Seedling_Ground_Control_Rep3,Atha_Col-0_Seedling_Ground_Control_Rep4,Atha_Col-0_Seedling_Space_FlightT_Rep5,Atha_Col-0_Seedling_Space_FlightT_Rep6,Atha_Col-0_Seedling_Space_FlightT_Rep7,Atha_Col-0_Seedling_Space_FlightT_Rep8,Atha_Col-0_Seedling_Ground_Control_Rep5,Atha_Col-0_Seedling_Ground_Control_Rep6,Atha_Col-0_Seedling_Ground_Control_Rep7,Atha_Col-0_Seedling_Ground_Control_Rep8,Atha_Col-0_Seedling_Space_Flight_Rep1,Atha_Col-0_Seedling_Space_Flight_Rep2,Atha_Col-0_Seedling_Space_Flight_Rep3,Atha_Col-0_Seedling_Ground_Control_Rep1,Atha_Col-0_Seedling_Ground_Control_Rep2,Atha_Col-0_Seedling_Ground_Control_Rep3,Atha_Col-0_Seedling_RNALater_Rep1,Atha_Col-0_Seedling_RNALater_Rep2,Atha_Col-0_Seedling_RNALater_Rep3,Atha_Col-0_Seedling_Liquid_Nitrogen_Rep1,Atha_Col-0_Seedling_Liquid_Nitrogen_Rep2,Atha_Col-0_Seedling_Liquid_Nitrogen_Rep3,Atha_Col-0_Roots_Light_Treatment_day_13_Rep1,Atha_Col-0_Roots_Light_Treatment_day_13_Rep2,Atha_Col-0_Roots_Light_Treatment_day_13_Rep3,Atha_Col-0_Roots_Light_Treatment_day_13_Rep1,Atha_Col-0_Roots_Light_Treatment_day_13_Rep2,Atha_Col-0_Roots_Dark_Treatment_day_13_Rep1,Atha_Col-0_Roots_Dark_Treatment_day_13_Rep2,Atha_Col-0_Roots_Dark_Treatment_day_13_Rep3,Atha_PhyD_Roots_Light_Treatment_day_13_Rep1,Atha_PhyD_Roots_Light_Treatment_day_13_Rep2,Atha_PhyD_Roots_Light_Treatment_day_13_Rep3,Atha_PhyD_Roots_Light_Treatment_day_13_Rep1,Atha_PhyD_Roots_Light_Treatment_day_13_Rep2,Atha_PhyD_Roots_Light_Treatment_day_13_Rep3,Atha_PhyD_Roots_Dark_Treatment_day_13_Rep1,Atha_PhyD_Roots_Dark_Treatment_day_13_Rep2,Atha_PhyD_Roots_Dark_Treatment_day_13_Rep3,Atha_WS_Roots_Light_Treatment_day_13_Rep1,Atha_WS_Roots_Light_Treatment_day_13_Rep2,Atha_WS_Roots_Light_Treatment_day_13_Rep3,Atha_WS_Roots_Light_Treatment_day_13_Rep1,Atha_WS_Roots_Light_Treatment_day_13_Rep2,Atha_WS_Roots_Light_Treatment_day_13_Rep3,Atha_WS_Roots_Dark_Treatment_day_13_Rep1,Atha_WS_Roots_Dark_Treatment_day_13_Rep2,Atha_WS_Roots_Dark_Treatment_day_13_Rep3,Atha_Col-0_Roots_Dark_Treatment_Space_Flight_day_13_Rep1,Atha_Col-0_Roots_Dark_Treatment_Space_Flight_day_13_Rep2,Atha_Col-0_Roots_Dark_Treatment_Space_Flight_day_13_Rep3,Atha_PhyD_Roots_Dark_Treatment_Space_Flight_day_13_Rep1,Atha_PhyD_Roots_Dark_Treatment_Space_Flight_day_13_Rep2,Atha_PhyD_Roots_Dark_Treatment_Space_Flight_day_13_Rep3,Atha_Col-0_Roots_Light_Treatment_Ground_Control_day_13_Rep3,Atha_WS_Roots_Dark_Treatment_Space_Flight_day_13_Rep1,Atha_WS_Roots_Dark_Treatment_Space_Flight_day_13_Rep2,Atha_WS_Roots_Dark_Treatment_Space_Flight_day_13_Rep3,Atha_Ws_root_Ground_Control_Rep1,Atha_Ws_root_Ground_Control_Rep2,Atha_Ws_root_Ground_Control_Rep3,Atha_Ws_root_Flight_Control_Rep1,Atha_Ws_root_Flight_Control_Rep2,Atha_Ws_root_Flight_Control_Rep3,Atha_Ws_leaf_Ground_Control_Rep1,Atha_Ws_leaf_Ground_Control_Rep2,Atha_Ws_leaf_Ground_Control_Rep3,Atha_Ws_leaf_Flight_Control_Rep1,Atha_Ws_leaf_Flight_Control_Rep2,Atha_Ws_leaf_Flight_Control_Rep3
Strain,bzip28-2,bzip28-2,bzip28-2,bzip28-2,bzip28-2,bzip28-2,bzip28-2,bzip28-2,bzip60-2,bzip60-2,bzip60-2,bzip60-2,bzip60-2,bzip60-2,bzip60-2,bzip60-2,bzip28-2_bzip60-1,bzip28-2_bzip60-1,bzip28-2_bzip60-1,bzip28-2_bzip60-1,bzip28-2_bzip60-1,bzip28-2_bzip60-1,bzip28-2_bzip60-1,bzip28-2_bzip60-1,bzip28-2_bzip60-1,bzip28-2_bzip60-1,ire1a-4_ire1b-2,ire1a-4_ire1b-2,ire1a-4_ire1b-2,ire1a-4_ire1b-2,ire1a-4_ire1b-2,ire1a-4_ire1b-2,ire1a-4_ire1b-2,ire1a-4_ire1b-2,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,Ws-2,Ler-0,Cvi-0,Ws-2,Ler-0,Ws-2,Cvi-0,Ler-0,Ws-2,Cvi-0,Ws-2,Ler-0,Cvi-0,Ws-2,Ler-0,Ws-2,Cvi-0,Ler-0,Ws-2,Cvi-0,Ws-2,Ler-0,Cvi-0,Ws-2,Ler-0,Ws-2,Cvi-0,Ler-0,Ws-2,Cvi-0,Ws-2,Ler-0,Cvi-0,Ws-2,Ler-0,Ws-2,Cvi-0,Ler-0,Ws-2,Cvi-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,PhyD,PhyD,PhyD,PhyD,PhyD,PhyD,PhyD,PhyD,PhyD,WS,WS,WS,WS,WS,WS,WS,WS,WS,Col-0,Col-0,Col-0,PhyD,PhyD,PhyD,Col-0,WS,WS,WS,Wassilewskija_ecotype,Wassilewskija_ecotype,Wassilewskija_ecotype,Wassilewskija_ecotype,Wassilewskija_ecotype,Wassilewskija_ecotype,Wassilewskija_ecotype,Wassilewskija_ecotype,Wassilewskija_ecotype,Wassilewskija_ecotype,Wassilewskija_ecotype,Wassilewskija_ecotype
Tissue,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Whole_Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,root,root,root,root,root,root,leaf,leaf,leaf,leaf,leaf,leaf
Gravitational_Factor,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space Flight,Space Flight,Space Flight,Ground Control,Ground Control,Ground Control,Ground Control,Ground Control,Ground Control,Ground Control,Ground Control,Ground Control,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight
