Source Name,Sample Name,Factor Value: Genotype,Characteristics: Material Type,Factor Value: Organism part,Parameter Value: light cycle,Parameter Value: light regimen,Parameter Value: Age at sample harvest
"Col-0, Leaves, Flight, replicate 1 [CLF1]",GSM3331071,Wild Type,leaf,leaf,24 light hour,continuous light regimen,11 day
"Col-0, Leaves, Flight, replicate 2 [CLF2]",GSM3331072,Wild Type,leaf,leaf,24 light hour,continuous light regimen,11 day
"Col-0, Leaves, Flight, replicate 3 [CLF3]",GSM3331073,Wild Type,leaf,leaf,24 light hour,continuous light regimen,11 day
"Col-0, Leaves, Flight, replicate 4 [CLF4]",GSM3331074,Wild Type,leaf,leaf,24 light hour,continuous light regimen,11 day
"Col-0, Roots, Flight, replicate 1 [CRF1]",GSM3331075,Wild Type,root,root,24 light hour,continuous light regimen,11 day
"Col-0, Roots, Flight, replicate 2 [CRF2]",GSM3331076,Wild Type,root,root,24 light hour,continuous light regimen,11 day
"Col-0, Roots, Flight, replicate 3 [CRF3]",GSM3331077,Wild Type,root,root,24 light hour,continuous light regimen,11 day
"Col-0, Roots, Flight, replicate 4 [CRF4]",GSM3331078,Wild Type,root,root,24 light hour,continuous light regimen,11 day
"Col-0, Leaves, Ground control, replicate 1 [CLG1]",GSM3331079,Wild Type,leaf,leaf,24 light hour,continuous light regimen,11 day
"Col-0, Leaves, Ground control, replicate 2 [CLG2]",GSM3331080,Wild Type,leaf,leaf,24 light hour,continuous light regimen,11 day
"Col-0, Leaves, Ground control, replicate 3 [CLG3]",GSM3331081,Wild Type,leaf,leaf,24 light hour,continuous light regimen,11 day
"Col-0, Leaves, Ground control, replicate 4 [CLG4]",GSM3331082,Wild Type,leaf,leaf,24 light hour,continuous light regimen,11 day
"Col-0, Roots, Ground control, replicate 1 [CRG1]",GSM3331083,Wild Type,root,root,24 light hour,continuous light regimen,11 day
"Col-0, Roots, Ground control, replicate 2 [CRG2]",GSM3331084,Wild Type,root,root,24 light hour,continuous light regimen,11 day
"Col-0, Roots, Ground control, replicate 3 [CRG3]",GSM3331085,Wild Type,root,root,24 light hour,continuous light regimen,11 day
"Col-0, Roots, Ground control, replicate 4 [CRG4]",GSM3331086,Wild Type,root,root,24 light hour,continuous light regimen,11 day
"elp2-5, Leaves, Flight, replicate 1 [ELF1]",GSM3331087,elp2-5,leaf,leaf,24 light hour,continuous light regimen,11 day
"elp2-5, Leaves, Flight, replicate 2 [ELF2]",GSM3331088,elp2-5,leaf,leaf,24 light hour,continuous light regimen,11 day
"elp2-5, Leaves, Flight, replicate 3 [ELF3]",GSM3331089,elp2-5,leaf,leaf,24 light hour,continuous light regimen,11 day
"elp2-5, Leaves, Flight, replicate 4 [ELF4]",GSM3331090,elp2-5,leaf,leaf,24 light hour,continuous light regimen,11 day
"elp2-5, Roots, Flight, replicate 1 [ERF1]",GSM3331091,elp2-5,root,root,24 light hour,continuous light regimen,11 day
"elp2-5, Roots, Flight, replicate 2 [ERF2]",GSM3331092,elp2-5,root,root,24 light hour,continuous light regimen,11 day
"elp2-5, Roots, Flight, replicate 3 [ERF3]",GSM3331093,elp2-5,root,root,24 light hour,continuous light regimen,11 day
"elp2-5, Roots, Flight, replicate 4 [ERF4]",GSM3331094,elp2-5,root,root,24 light hour,continuous light regimen,11 day
"elp2-5, Leaves, Ground control, replicate 1 [ELG1]",GSM3331095,elp2-5,leaf,leaf,24 light hour,continuous light regimen,11 day
